song,level,lyrics
One After 909,4,"My baby says she's trav'ling on the one after 909<br>I said move over honey I'm travelling on that line<br>I said move over once, move over twice<br>Come on baby don't be cold as ice<br>I said I'm trav'ling on the one after 909<br><br>I begged her not to go and I begged her on my bended knees<br>You're only fooling around, you're fooling around with me<br>I said move over once, move over twice<br>Come on baby don't be cold as ice<br>I said I'm trav'ling on the one after 909<br><br>I got my bag, run to the station<br>Railman says you've got the the wrong location<br>I got my bag, run right home<br>Then I find I've got the number wrong<br><br>Well I said I'm trav'ling on the one after 909<br>I said move over honey I'm travelling on that line<br>I said move over once, move over twice<br>Come on baby don't be cold as ice<br>I said I'm trav'ling on the one after 909<br><br>I got my bag, run to the station<br>railman says you've got the the wrong location<br>I got my bag, run right home<br>Then I find I've got the number wrong<br><br>Well I said I'm trav'ling on the one after 909<br>I said move over honey I'm travelling on that line<br>I said move over once, move over twice<br>Come on baby don't be cold as ice<br>I said we're trav'ling on the one after 90<br>I said we're trav'ling on the one after 90<br>I said we're trav'ling on the one after 909<br><br>[Oh Danny Boy, the old summer is calling.]"
Only A Northern Song,4,If you're listening to this song<br>You may think the chords are going wrong<br>But they're not<br>He just wrote it like that<br><br>When you're listening late at night<br>You may think the band are not quite right<br>But they are<br>They just play it like that<br><br>It doesn't really matter what chords I play<br>What words I say or time of day it is<br>As it's only a Northern song<br><br>It doesn't really matter what clothes I wear<br>Or how I fare or if my hair is brown<br>When it's only a Northern song<br><br>If you think the harmony<br>Is a little dark and out of key<br>You're correct<br>There's nobody there<br><br>And I told you there's no one there
P.S. I Love You,4,"As I write this letter<br>Send my love to you<br>Remember that I'll always<br>Be in love with you<br><br>Treasure these few words till we're together<br>Keep all my love forever<br>P.S. I love you<br>You, you, you<br><br>I'll be coming home again to you, love<br>And till the day I do, love<br>P.S. I love you<br>You, you, you<br><br>As I write this letter<br>Send my love to you<br>Remember that I'll always<br>Be in love with you<br><br>Treasure these few words till we're together<br>Keep all my love forever<br>P.S. I love you<br>You, you, you<br><br>As I write this letter (Oh)<br>Send my love to you (You know I want you to)<br>Remember that I'll always (Yeah)<br>Be in love with you<br><br>I'll be coming home again to you, love<br>And till the day I do, love<br>P.S. I love you<br>You, you, you<br>You, you, you<br>I love you"
Paperback Writer,1,"Paperback writer<br><br>Dear Sir or Madam, will you read my book?<br>It took me years to write, will you take a look?<br>It's based on a novel by a man named Lear<br>And I need a job, so I want to be a paperback writer<br>Paperback writer<br><br>It's the dirty story of a dirty man<br>And his clinging wife doesn't understand<br>His son is working for the Daily Mail<br>It's a steady job but he wants to be a paperback writer<br>Paperback writer<br><br>Paperback writer<br><br>It's a thousand pages, give or take a few<br>I'll be writing more in a week or two<br>I can make it longer if you like the style<br>I can change it round and I want to be a paperback writer<br>Paperback writer<br><br>If you really like it you can have the rights<br>It could make a million for you overnight<br>If you must return it, you can send it here<br>But I need a break and I want to be a paperback writer<br>Paperback writer<br><br>Paperback writer<br><br>Paperback writer, paperback writer<br>Paperback writer, paperback writer<br>Paperback writer, paperback writer<br>Paperback writer, paperback writer (fade out)"
Penny Lane,1,"In Penny Lane there is a barber showing photographs<br>Of every head he's had the pleasure to have known<br>And all the people that come and go<br>Stop and say hello<br><br>On the corner is a banker with a motorcar<br>The little children laugh at him behind his back<br>And the banker never wears a mac<br>In the pouring rain, very strange<br><br>Penny Lane is in my ears and in my eyes<br>There beneath the blue suburban skies<br>I sit, and meanwhile back<br><br>In Penny Lane there is a fireman with an hourglass<br>And in his pocket is a portrait of the queen<br>He likes to keep his fire engine clean<br>It's a clean machine<br><br>Penny Lane is in my ears and in my eyes<br>A four of fish and finger pies<br>In summer, meanwhile back<br><br>Behind the shelter in the middle of a roundabout<br>The pretty nurse is selling poppies from a tray<br>And though she feels as if she's in a play<br>She is anyway<br><br>In Penny Lane the barber shaves another customer<br>We see the banker sitting waiting for a trim<br>And then the fireman rushes in<br>From the pouring rain, very strange<br><br>Penny Lane is in my ears and in my eyes<br>There beneath the blue suburban skies<br>I sit, and meanwhile back<br>Penny Lane is in my ears and in my eyes<br>There beneath the blue suburban skies<br>Penny Lane"
Piggies,4,Have you seen the little piggies<br>Crawling in the dirt?<br>And for all the little piggies<br>Life is getting worse<br>Always having dirt to play around in<br><br>Have you seen the bigger piggies<br>In their starched white shirts?<br>You will find the bigger piggies<br>Stirring up the dirt<br>Always have clean shirts to play around in<br><br>In their styes with all their backing<br>They don't care what goes on around<br>In their eyes there's something lacking<br>What they need's a damn good whacking<br><br>Everywhere there's lots of piggies<br>Living piggy lives<br>You can see them out for dinner<br>With their piggy wives<br>Clutching forks and knives to eat their bacon<br><br>(One more time...)
Please Mister Postman,4,"Wait, oh yes wait a minute mister postman<br>Wait, wait mister postman<br><br>Mister postman look and see<br>Is there a letter in your bag for me<br>I been waiting a long long time<br>Since I heard from that girl of mine<br><br>There must be some word today<br>From my girlfriend so far away<br>Please Mister postman look and see<br>If there's a letter, a letter for me<br>I been standing here waiting Mister postman<br>So patiently<br>For just a card or just a letter<br>Saying she's returning home to me<br><br>Mister postman look and see<br>Is there a letter in your bag for me<br>I been waiting a long long time<br>Since I heard from that girl of mine<br><br>So many days you passed me by<br>See the tear standing in my eye<br>You didn't stop to make me feel better<br>By leaving me a card or a letter<br><br>So Mister postman look and see<br>Is there a letter in your bag for me<br>I been waiting a long long time<br>Since I heard from that girlfriend of mine<br><br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta check it and see, one more time for me<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>Deliver the letter, the sooner the better<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute"
Please Please Me,2,"Last night I said these words to my girl<br>I know you never even try, girl<br>C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)<br>Please please me, oh yeah, like I please you<br><br>You don't need me to show the way, love<br>Why do I always have to say ""love""<br>C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)<br>Please please me, oh yeah, like I please you<br><br>I don't wanna sound complaining<br>But you know there's always rain in my heart (In my heart)<br>I do all the pleasing with you, it's so hard to reason<br>With you, oh yeah, why do you make me blue<br><br>Last night I said these words to my girl<br>I know you never even try, girl<br>C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)<br>Please please me, oh yeah, like I please you<br>(Me) Whoa yeah, like I please you<br>(Me) Whoa yeah, like I please you"
Polythene Pam,4,"Well you should see Polythene Pam<br>She's so good-looking but she looks like a man<br>Well you should see her in drag dressed in her polythene bag<br>Yes you should see Polythene Pam<br>Yeah yeah yeah<br><br>Get a dose of her in jackboots and kilt<br>She's killer-diller when she's dressed to the hilt<br>She's the kind of a girl that makes the ""News of the World""<br>Yes you could say she was attractively built<br>Yeah yeah yeah"
Rain,4,"If the rain comes they run and hide their heads<br>They might as well be dead<br>If the rain comes, if the rain comes<br><br>When the sun shines they slip into the shade<br>(when the sun shines down)<br>And sip their lemonade<br>(when the sun shines down)<br>When the sun shines, when the sun shines<br><br>Rain, I don't mind<br>Shine, the weather's fine<br><br>I can show you that when it starts to rain<br>(when the rain comes down)<br>Everything's the same<br>(when the rain comes down)<br>I can show you, I can show you<br><br>Rain, I don't mind<br>Shine, the weather's fine<br><br>Can you hear me, that when it rains and shines<br>(when it rains and shines)<br>It's just a state of mind?<br>(when it rains and shines)<br>Can you hear me, can you hear me?<br><br>Sdaeh rieht edih dna nur yeht semoc niar eht fI<br>(rain)<br>(rain)"
Real Love,4,"All my little plans and schemes<br>Lost like some forgotten dreams<br>Seems that all I really was doing<br>Was waiting for you<br><br>Just like little girls and boys<br>Playing with their little toys<br>Seems like all they really were doing<br>Was waiting for love<br><br>Don't need to be alone<br>No need to be alone<br>It's real love, it's real<br>Yes it's real love, it's real<br><br>From this moment on I know<br>Exactly where my life will go<br>Seems that all I really was doing<br>Was waiting for love<br><br>Don't need to be afraid<br>No need to be afraid<br>It's real love, it's real<br>Yes it's real love, it's real<br><br>Thought I'd been in love before<br>But in my heart, I wanted more<br>Seems like all I really was doing<br>Was waiting for you<br><br>Don't need to be alone<br>Don't need to be alone<br><br>It's real love, it's real<br>It's real love, it's real<br>Yes it's real love, it's real<br>It's real love, it's real<br>Yes it's real love, it's real<br>It's real love, it's real<br>Yes it's real love, it's real<br>It's real love, it's real"
Revolution,2,"You say you want a revolution<br>Well, you know<br>We all want to change the world<br>You tell me that it's evolution<br>Well, you know<br>We all want to change the world<br><br>But when you talk about destruction<br>Don't you know that you can count me out<br><br>Don't you know it's gonna be alright<br>Alright, alright<br><br>You say you got a real solution<br>Well, you know<br>We'd all love to see the plan<br>You ask me for a contribution<br>Well, you know<br>We're all doing what we can<br><br>But if you want money for people with minds that hate<br>All I can tell you is brother you have to wait<br><br>Don't you know it's gonna be alright<br>Alright, alright, al...<br><br>You say you'll change the constitution<br>Well, you know<br>We all want to change your head<br>You tell me it's the institution<br>Well, you know<br>You'd better free your mind instead<br><br>But if you go carrying pictures of Chairman Mao<br>You ain't gonna make it with anyone anyhow<br><br>Don't you know it's gonna be alright<br>Alright, alright<br><br>Alright, alright<br>Alright, alright<br>Alright, alright<br>Alright, alright"
Revolution 1,4,"Ah, take 2<br>OK!<br><br>You say you want a revolution<br>Well you know<br>We all want to change the world<br>You tell me that it's evolution<br>Well you know<br>We all want to change the world<br><br>But when you talk about destruction<br>Don't you know that you can count me out in<br><br>Don't you know it's gonna be alright<br>Don't you know it's gonna be alright<br>Don't you know it's gonna be alright<br><br>You say you got a real solution<br>Well you know<br>We'd all love to see the plan<br>You ask me for a contribution<br>Well you know<br>We're doing what we can<br><br>But if you want money for people with minds that hate<br>All I can tell you is brother you have to wait<br><br>Don't you know it's gonna be alright<br>Don't you know it's gonna be alright<br>Don't you know it's gonna be alright<br><br>You say you'll change the constitution<br>Well you know<br>We'd all love to change your head<br>You tell me it's the institution<br>Well you know<br>You better free your mind instead<br><br>But if you go carrying pictures of Chairman Mao<br>You ain't going to make it with anyone anyhow<br><br>Don't you know it's gonna be alright<br>Don't you know it's gonna be alright<br>Don't you know it's gonna be alright<br><br>Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh<br>Alright, alright, alright, alright, alright<br>Alright, alright, alright, alright, alright<br>Oh, oh, oh, oh, oh, oh<br>Alright, alright, alright<br>Alright<br>Alright"
